judul,text,tanggal,sentimen
"Kena Tipu Borrower, Anak Usaha KoinWorks Buka Suara","kena tipu borrower , anak usaha koinworks buka suara",2024/11/19,negatif
7 Taipan Terkaya RI Tertawa Lepas Bahas Proyek Raksasa di IKN,7 taipan terkaya RI tertawa lepas bahas proyek raksasa di IKN,2024/08/19,netral
"Asing Lego Rp 2,91 T di Saham-Saham Ini Kala IHSG Babak Belur",asing lego rp 2.91 t di saham-saham ini kala IHSG babak belur,2025/03/03,negatif
OJK Buka Suara Soal Gagal Bayar Anak Usaha KoinWorks,OJK buka suara soal gagal bayar anak usaha koinworks,2024/11/21,netral
Ini Cara Baru OJK Perkuat Industri Asuransi di Indonesia,ini cara baru OJK perkuat industri asuransi di indonesia,2024/10/17,positif
Kisah Bisnis Salim yang Ambruk Setelah 3 Dekade Menguasai RI,kisah bisnis salim yang ambruk setelah 3 dekade menguasai RI,2024/01/21,netral
"Emiten Tambang Prajogo (PTRO) Stock Split 1:10, Ini Alasannya","emiten tambang prajogo ( PTRO ) stock split 1:10 , ini alasannya",2024/11/07,positif
"IHSG Diproyeksi ke Level 7.800, Ini Faktor Pendorongnya","IHSG diproyeksi ke level 7.800 , ini faktor pendorongnya",2024/08/14,positif
"Freeport Setor Rp3,35 T ke Papua, Duitnya Buat Ini","freeport setor rp 3.35 t ke papua , duitnya buat ini",2024/04/19,netral
"IHSG Masih Suram, Ternyata Asing Masih Incar Saham-Saham Ini","IHSG masih suram , ternyata asing masih incar saham-saham ini",2024/11/19,netral
"Mayor Teddy Lapor LHKPN, Punya Harta Rp15,38 M","mayor teddy lapor LHKPN , punya harta rp 15.38 m",2025/01/22,netral
Warren Buffett & Robert Kiyosaki Beri Tips Investasi Saat Pasar Anjlok,warren buffett robert kiyosaki beri tips investasi saat pasar anjlok,2025/03/13,netral
Mau Jual Emas Antam? Simak Cara Buyback di Butik Logam Mulia,mau jual emas antam ? simak cara buyback di butik logam mulia,2024/08/20,netral
Visa Kena Denda dari Bank Sentral India Gara-Gara Hal ini,visa kena denda dari bank sentral india gara-gara hal ini,2024/07/28,negatif
"Emiten Sinarmas (BSDE) Tender Offer Saham SMDM, Pasang Harga Rp531","emiten sinarmas ( BSDE ) tender offer saham SMDM , pasang harga rp 531",2024/12/17,netral
OJK Ungkap Potensi Pasar Bank Syariah di Daerah Islam Tertua RI,OJK ungkap potensi pasar bank syariah di daerah islam tertua RI,2024/10/24,netral
"Garap Bisnis Bank Kustodian, BSI Kelola Aset Rp110 Triliun","garap bisnis bank kustodian , BSI kelola aset rp 110 triliun",2024/12/31,positif
"Topindo Solusi (TOSK) Targetkan 1 Juta Pelanggan Baru, Ini Jurusnya","topindo solusi ( TOSK ) targetkan 1 juta pelanggan baru , ini jurusnya",2024/07/12,positif
"BUMN Agresif Holdingisasi & Klasterisasi, Ini Manfaatnya","BUMN agresif holdingisasi klasterisasi , ini manfaatnya",2024/10/03,positif
"Bukalapak Mau Tutup Marketplace, Sahamnya Ambruk Nyaris 5%","bukalapak mau tutup marketplace , sahamnya ambruk nyaris 5%",2025/01/08,negatif
"Tutup 2.500 Pinjol, OJK Imbau Masyarakat Bijak Lakukan Transaksi","tutup 2.500 pinjol , OJK imbau masyarakat bijak lakukan transaksi",2025/02/25,netral
Daftar 14 BUMN Sakit Selain PT PANN,daftar 14 BUMN sakit selain PT PANN,2024/10/21,netral
"Asuransi Umum Catat Kenaikan Premi 18,4%, Sektor Ini Penyumbang Utama","asuransi umum catat kenaikan premi 18.4% , sektor ini penyumbang utama",2024/09/30,positif
"Kisah Manusia Rp 1.000 Triliun dari Kalimantan, Bisnis Kayu hingga EBT","kisah manusia rp 1.000 triliun dari kalimantan , bisnis kayu hingga EBT",2024/07/21,netral
"Sempat Menguat Lawan Won Korsel, Rupiah Cenderung Stabil","sempat menguat lawan won korsel , rupiah cenderung stabil",2024/08/15,positif
"Sentimen Eksternal Bikin Rupiah Goncang, Dolar Naik ke Rp15.910","sentimen eksternal bikin rupiah goncang , dolar naik ke rp 15.910",2024/11/26,negatif
"Gak Cairkan Bank Garansi, Bank Bukopin KB Syariah Digugat Rp 30 M","gak cairkan bank garansi , bank bukopin KB syariah digugat rp 30 m",2024/12/18,negatif
"IHSG Bangkit, Asing Borong BREN, BRPT Hingga AMMN","IHSG bangkit , asing borong BREN , BRPT hingga AMMN",2025/01/08,positif
Tok! Mantan Menlu Retno Marsudi Diangkat Jadi Komisaris Vale (INCO),tok ! mantan menlu retno marsudi diangkat jadi komisaris vale ( INCO ),2025/01/14,netral
"Kisah Keluarga Punya Penghasilan Pasif Rp2,4 Miliar Sebulan",kisah keluarga punya penghasilan pasif rp 2.4 miliar sebulan,2024/05/04,netral
"Sosok Mukesh Ambani, Crazy Rich India Gaet Rihanna di Pre-Wedding Anak","sosok mukesh ambani , crazy rich india gaet rihanna di pre-wedding anak",2024/03/02,netral
Akulaku Grup Mau Kikis Perlahan Saham Bank Neo (BBYB) Sampai Jadi 30%,akulaku grup mau kikis perlahan saham bank neo ( BBYB ) sampai jadi 30%,2024/11/20,netral
BNI dan UI Kolaborasi Ekosistem Keuangan Digital Pendidikan,BNI dan UI kolaborasi ekosistem keuangan digital pendidikan,2024/11/01,positif
"Cegah Fraud, OJK Akan Perketat Pengawasan Terkait Profesi di SJK","cegah fraud , OJK akan perketat pengawasan terkait profesi di SJK",2025/02/11,netral
BRI Hadirkan Platform Agar UMKM Naik Kelas,BRI hadirkan platform agar UMKM naik kelas,2025/01/30,positif
"Bank Tutup Jadi 10, Terbaru OJK Cabut Izin Usaha Bank Syariah di Kudus","bank tutup jadi 10 , terbaru OJK cabut izin usaha bank syariah di kudus",2024/04/19,negatif
wondr Jadi Motor BNI Genjot Fee Based Income,wondr jadi motor BNI genjot fee based income,2024/11/07,positif
"Bukan OJK, Soal Restrukturisasi KUR Dibahas 3 Menteri Ini!","bukan OJK , soal restrukturisasi KUR dibahas 3 menteri ini !",2024/08/01,netral
"Lengkap, Simak Cara & Syarat Pengajuan KUR BRI 2025","lengkap , simak cara syarat pengajuan KUR BRI 2025",2025/01/22,netral
"Pembiayaan Tumbuh Double Digit, Kinerja BSI Makin Solid","pembiayaan tumbuh double digit , kinerja BSI makin solid",2024/05/22,positif
"BI Surplus Rp 55,6 T Hingga September 2024",BI surplus rp 55.6 t hingga september 2024,2024/11/06,positif
Strategi Investasi Saham 'Magic Formula' Ala Joel Greenblatt,strategi investasi saham magic formula ala joel greenblatt,2024/09/03,netral
Ini Barang Sitaan KPK dari Rumah Ridwan Kamil,ini barang sitaan KPK dari rumah ridwan kamil,2025/03/12,netral
Duh! Ini yang Bikin Harta Prajogo Pangestu Raib Rp 91 T dalam Semalam,duh ! ini yang bikin harta prajogo pangestu raib rp 91 t dalam semalam,2024/06/08,netral
"Update Spin Off Usaha Syariah BTN dan CIMB Niaga, Ini Kata Bos OJK","update spin off usaha syariah BTN dan CIMB niaga , ini kata bos OJK",2025/01/07,netral
"Rupiah Diprediksi Masih Volatil, Efek Sabda The Fed!","rupiah diprediksi masih volatil , efek sabda the fed !",2024/12/19,negatif
IHSG Ambruk 5%! Ini Kata Bursa Efek Indonesia,IHSG ambruk 5% ! ini kata bursa efek indonesia,2025/03/18,negatif
"Dorong Investor Optimalkan Strategi, Ajaib Hadirkan Program Top Up 1%","dorong investor optimalkan strategi , ajaib hadirkan program top up 1%",2024/08/13,positif
"Daftar 10 Bank Terbesar di Indonesia, OCBC Naik - BDMN Terpental","daftar 10 bank terbesar di indonesia , OCBC naik - BDMN terpental",2024/08/25,netral
"Beban Biaya BNI (BBNI) Turun, Kinerja Semester-I 2024 Bakal Moncer","beban biaya BNI ( BBNI ) turun , kinerja semester-i 2024 bakal moncer",2024/08/15,positif
"Harga Minyak Merosot, Stok AS Naik & Geopolitik Memanas","harga minyak merosot , stok AS naik geopolitik memanas",2025/03/19,negatif
Luhut Happy Ide Bentuk Family Office Disetujui Jokowi,luhut happy ide bentuk family office disetujui jokowi,2024/06/21,netral
"Pisahkan Bisnis Batu Bara, Alamtri (ADRO) Sesuaikan Selera Investor","pisahkan bisnis batu bara , alamtri ( ADRO ) sesuaikan selera investor",2025/03/20,netral
Pengusaha AS Jadi Kaya Raya Gara-Gara Terpinspirasi Kisah Nabi,pengusaha AS jadi kaya raya gara-gara terpinspirasi kisah nabi,2025/01/27,netral
OJK Beberkan Dua Risiko Bank Pada Tahun Ini,OJK beberkan dua risiko bank pada tahun ini,2024/03/27,negatif
"IHSG Ngebut Pagi Ini Dibuka Melesat 1,04%, Efek Danantara?","IHSG ngebut pagi ini dibuka melesat 1.04% , efek danantara ?",2025/03/25,positif
Investor & Pelaku Pasar Sambut Inaugurasi Donald Trump,investor pelaku pasar sambut inaugurasi donald trump,2025/01/21,netral
"Ribuan Driver Ojol Demo Hari Ini, Saham GOTO Bagaimana?","ribuan driver ojol demo hari ini , saham GOTO bagaimana ?",2024/08/29,netral
Antam Tegaskan Gak Ada Kurang Serah Emas ke Budi Said,antam tegaskan gak ada kurang serah emas ke budi said,2024/10/01,netral
Daftar Taipan RI yang Ikut Prabowo ke China,daftar taipan RI yang ikut prabowo ke china,2024/11/11,netral
