judul,text,tokens,tanggal,sentimen
"Direktur Garuda Salman El Farisiy Meninggal, Ini Sosoknya!","direktur garuda salman el farisiy meninggal , ini sosoknya !","['direktur', 'garuda', 'salman', 'el', 'fari', '##si', '##y', 'meninggal', ',', 'ini', 'sosok', '##nya', '!']",2024/01/01,negatif
"Catatan Sejarah 2023, Indonesia Luncurkan Bursa Karbon","catatan sejarah 2023 , indonesia luncurkan bursa karbon","['catatan', 'sejarah', '202', '##3', ',', 'indonesia', 'luncurkan', 'bursa', 'karbon']",2024/01/01,netral
"Ramalan Bitcoin Paling Gila 2024, Naik 1.000% Jadi US$500.000","ramalan bitcoin paling gila 2024 , naik 1.000% jadi us 500.000","['ramalan', 'bitcoin', 'paling', 'gila', '202', '##4', ',', 'naik', '1', '.', '000', '%', 'jadi', 'us', '500', '.', '000']",2024/01/01,netral
Wah! Segini Harta Mantan Istri Prabowo Titiek Soeharto,wah ! segini harta mantan istri prabowo titiek soeharto,"['wah', '!', 'segi', '##ni', 'harta', 'mantan', 'istri', 'prabowo', 'titi', '##ek', 'soeharto']",2024/01/01,netral
"Pensiun di Oktober 2024, Jokowi Kantongi Uang Pensiun Segini!","pensiun di oktober 2024 , jokowi kantongi uang pensiun segini !","['pensiun', 'di', 'oktober', '202', '##4', ',', 'jokowi', 'kantong', '##i', 'uang', 'pensiun', 'segi', '##ni', '!']",2024/01/01,netral
"Gas! 8 Emiten Baru Bakal Melantai di Bursa 2024, Siapa Saja?","gas ! 8 emiten baru bakal melantai di bursa 2024 , siapa saja ?","['gas', '!', '8', 'emiten', 'baru', 'bakal', 'melan', '##ta', '##i', 'di', 'bursa', '202', '##4', ',', 'siapa', 'saja', '?']",2024/01/01,positif
Wall Street Mengawali Tahun 2024 Dengan Tak Sumringah,wall street mengawali tahun 2024 dengan tak sumringah,"['wall', 'street', 'mengawali', 'tahun', '202', '##4', 'dengan', 'tak', 'sum', '##ring', '##ah']",2024/01/02,negatif
"Jika Jiwasraya Dibubarkan, Aset Saham Bakal Dijual?","jika jiwasraya dibubarkan , aset saham bakal dijual ?","['jika', 'jiwa', '##sr', '##aya', 'dibubarkan', ',', 'aset', 'saham', 'bakal', 'dijual', '?']",2024/01/02,negatif
"Pernikahan Viral, Segini Harta Budisatrio Keponakan Prabowo","pernikahan viral , segini harta budisatrio keponakan prabowo","['pernikahan', 'viral', ',', 'segi', '##ni', 'harta', 'budi', '##sat', '##rio', 'keponakan', 'prabowo']",2024/01/02,netral
Satgas Pasti OJK Blokir 6.680 Pinjol Ilegal dan Pinpri,satgas pasti OJK blokir 6.680 pinjol ilegal dan pinpri,"['satgas', 'pasti', 'ojk', 'blokir', '6', '.', '68', '##0', 'pinj', '##ol', 'ilegal', 'dan', 'pin', '##pri']",2024/01/02,negatif
"PTBA Gandeng KAI, Mau Angkut 20 Juta Ton Batu Bara","PTBA gandeng KAI , mau angkut 20 juta ton batu bara","['pt', '##ba', 'gand', '##eng', 'kai', ',', 'mau', 'angkut', '20', 'juta', 'ton', 'batu', 'bara']",2024/01/02,positif
Kapan Kripto Diawasi OJK? Ini Bocorannya,kapan kripto diawasi OJK ? ini bocorannya,"['kapan', 'kri', '##pt', '##o', 'diawasi', 'ojk', '?', 'ini', 'bocoran', '##nya']",2024/01/02,netral
"Dapat Restu RKAB, Produksi Batu Bara BUMI Bisa Capai Segini","dapat restu RKAB , produksi batu bara BUMI bisa capai segini","['dapat', 'restu', 'rk', '##ab', ',', 'produksi', 'batu', 'bara', 'bumi', 'bisa', 'capai', 'segi', '##ni']",2024/01/02,netral
"Waktu Habis, Emiten Tak Penuhi Free Float 7,5% Dibuka Bursa","waktu habis , emiten tak penuhi free float 7.5% dibuka bursa","['waktu', 'habis', ',', 'emiten', 'tak', 'penuhi', 'free', 'flo', '##at', '7', '.', '5', '%', 'dibuka', 'bursa']",2024/01/02,negatif
"Perdagangan Perdana 2024, IHSG Cetak Rekor Baru di 7.323,59","perdagangan perdana 2024 , IHSG cetak rekor baru di 7.323.59","['perdagangan', 'perdana', '202', '##4', ',', 'ihsg', 'cetak', 'rekor', 'baru', 'di', '7', '.', '323', '.', '59']",2024/01/02,positif
Wall Street Ambruk Lagi Jelang The Fed Minutes,wall street ambruk lagi jelang the fed minutes,"['wall', 'street', 'ambruk', 'lagi', 'jelang', 'the', 'fed', 'minut', '##es']",2024/01/03,negatif
Rukun Raharja (RAJA) Bangun Stasiun Induk CNG Baru di Jateng,rukun raharja ( RAJA ) bangun stasiun induk CNG baru di jateng,"['rukun', 'rah', '##arja', '(', 'raja', ')', 'bangun', 'stasiun', 'induk', 'cn', '##g', 'baru', 'di', 'jateng']",2024/01/03,positif
"Menguak Motif Budi Said Beli Emas Antam Hingga Rp3,5 T",menguak motif budi said beli emas antam hingga rp 3.5 t,"['mengu', '##ak', 'motif', 'budi', 'said', 'beli', 'emas', 'antam', 'hingga', 'rp', '3', '.', '5', 't']",2024/01/03,netral
Konglomerat Ini Pernah Bikin Presiden Soeharto Heran,konglomerat ini pernah bikin presiden soeharto heran,"['konglom', '##erat', 'ini', 'pernah', 'bikin', 'presiden', 'soeharto', 'heran']",2024/01/03,netral
BEI Bakal Tunjuk Sekuritas yang Bisa Jadi Market Maker,BEI bakal tunjuk sekuritas yang bisa jadi market maker,"['bei', 'bakal', 'tunjuk', 'sekuritas', 'yang', 'bisa', 'jadi', 'market', 'maker']",2024/01/03,netral
BTN Targetkan Laba Naik 14% di 2024,BTN targetkan laba naik 14% di 2024,"['btn', 'targetkan', 'laba', 'naik', '14', '%', 'di', '202', '##4']",2024/01/03,positif
"IHSG Berakhir Loyo, Saham-Saham Big Cap Ini Biang Keroknya","IHSG berakhir loyo , saham-saham big cap ini biang keroknya","['ihsg', 'berakhir', 'loy', '##o', ',', 'saham', '-', 'saham', 'big', 'cap', 'ini', 'biang', 'ker', '##oknya']",2024/01/03,negatif
Tahun Ini PPRO Bakal Divestasi Aset Total Rp 356 Miliar,tahun ini PPRO bakal divestasi aset total rp 356 miliar,"['tahun', 'ini', 'pp', '##ro', 'bakal', 'div', '##estasi', 'aset', 'total', 'rp', '35', '##6', 'miliar']",2024/01/03,positif
"Pasar Bersiap Tunggu Data dari AS, Rupiah Melemah Tipis","pasar bersiap tunggu data dari AS , rupiah melemah tipis","['pasar', 'bersiap', 'tunggu', 'data', 'dari', 'as', ',', 'rupiah', 'melemah', 'tipis']",2024/01/03,negatif
"Orang Nganggur di AS Turun, Wall Street Terjun Bebas","orang nganggur di AS turun , wall street terjun bebas","['orang', 'ngangg', '##ur', 'di', 'as', 'turun', ',', 'wall', 'street', 'terjun', 'bebas']",2024/01/04,negatif
"Garuda (GIAA) Lunasi Sebagian Utang Obligasi, Tinggal Sisa Segini","garuda ( GIAA ) lunasi sebagian utang obligasi , tinggal sisa segini","['garuda', '(', 'gi', '##aa', ')', 'lunas', '##i', 'sebagian', 'utang', 'obligasi', ',', 'tinggal', 'sisa', 'segi', '##ni']",2024/01/04,positif
"Pengumuman! OJK Cabut Izin BPR Wijaya Kusuma, Nasabah Cek Ini","pengumuman ! OJK cabut izin BPR wijaya kusuma , nasabah cek ini","['pengumuman', '!', 'ojk', 'cabut', 'izin', 'bpr', 'wijaya', 'kusuma', ',', 'nasabah', 'cek', 'ini']",2024/01/04,negatif
"Bisnis Bareng Salim, Soeharto Nyaris Dipecat dari TNI","bisnis bareng salim , soeharto nyaris dipecat dari TNI","['bisnis', 'bareng', 'salim', ',', 'soeharto', 'nyaris', 'dipecat', 'dari', 'tni']",2024/01/04,netral
"Saham BNI Tembus Rp 5.600, Cetak Rekor Baru Sepanjang Masa!","saham BNI tembus rp 5.600 , cetak rekor baru sepanjang masa !","['saham', 'bni', 'tembus', 'rp', '5', '.', '600', ',', 'cetak', 'rekor', 'baru', 'sepanjang', 'masa', '!']",2024/01/04,positif
"Kejagung Lelang Tas Hermes Istri Bentjok, Birkin Cuma Rp 61 Juta","kejagung lelang tas hermes istri bentjok , birkin cuma rp 61 juta","['kej', '##agung', 'lelang', 'tas', 'herm', '##es', 'istri', 'bent', '##jok', ',', 'bir', '##kin', 'cuma', 'rp', '61', 'juta']",2024/01/04,netral
Saham Bank Mandiri Melonjak 4% Lebih & Cetak Rekor Baru,saham bank mandiri melonjak 4% lebih cetak rekor baru,"['saham', 'bank', 'mandiri', 'melonjak', '4', '%', 'lebih', 'cetak', 'rekor', 'baru']",2024/01/04,positif
"IHSG Cetak Rekor Baru Lagi! Ditutup Melesat 1,11%",IHSG cetak rekor baru lagi ! ditutup melesat 1.11%,"['ihsg', 'cetak', 'rekor', 'baru', 'lagi', '!', 'ditutup', 'melesat', '1', '.', '11', '%']",2024/01/04,positif
"Daftar Terbaru Investor IKN, Ada Grup Djarum, Astra, hingga Alfamart","daftar terbaru investor IKN , ada grup djarum , astra , hingga alfamart","['daftar', 'terbaru', 'investor', 'ik', '##n', ',', 'ada', 'grup', 'djarum', ',', 'astra', ',', 'hingga', 'alfamart']",2024/01/04,netral
"Libur Nataru, Transaksi Kartu Kredit Bank Mega Syariah Naik 50%","libur nataru , transaksi kartu kredit bank mega syariah naik 50%","['libur', 'nata', '##ru', ',', 'transaksi', 'kartu', 'kredit', 'bank', 'mega', 'syariah', 'naik', '50', '%']",2024/01/04,positif
"Bahas Ini, Erick Thohir Rapat Bareng MenPANRB dan Menkominfo","bahas ini , erick thohir rapat bareng menpanrb dan menkominfo","['bahas', 'ini', ',', 'eric', '##k', 'tho', '##hir', 'rapat', 'bareng', 'menpan', '##rb', 'dan', 'menko', '##min', '##fo']",2024/01/04,netral
"Sukanto Tanoto Beli Hotel Mewah di China, Gelontorkan Rp 3,7 T","sukanto tanoto beli hotel mewah di china , gelontorkan rp 3.7 t","['suka', '##nt', '##o', 'tan', '##oto', 'beli', 'hotel', 'mewah', 'di', 'china', ',', 'gel', '##onto', '##r', '##kan', 'rp', '3', '.', '7', 't']",2024/01/04,netral
"Dolar Makin Perkasa, Rupiah Melemah 3 Hari Beruntun","dolar makin perkasa , rupiah melemah 3 hari beruntun","['dolar', 'makin', 'perkasa', ',', 'rupiah', 'melemah', '3', 'hari', 'beruntun']",2024/01/04,negatif
DBS Indonesia Angkat Eks Bos OJK Jadi Komisaris Independen,DBS indonesia angkat eks bos OJK jadi komisaris independen,"['db', '##s', 'indonesia', 'angkat', 'eks', 'bos', 'ojk', 'jadi', 'komisaris', 'independen']",2024/01/04,netral
"Investasi Primadona, Harga Emas dari Tahun ke Tahun Sejak 1970","investasi primadona , harga emas dari tahun ke tahun sejak 1970","['investasi', 'primadona', ',', 'harga', 'emas', 'dari', 'tahun', 'ke', 'tahun', 'sejak', '1970']",2024/01/04,netral
"BTN Kirim Surat Minat Masuk Muamalat, Pemegang Saham Buka Suara","BTN kirim surat minat masuk muamalat , pemegang saham buka suara","['btn', 'kirim', 'surat', 'minat', 'masuk', 'muamalat', ',', 'pemegang', 'saham', 'buka', 'suara']",2024/01/04,netral
"Cetak Rekor ATH Baru! IHSG Melesat Nyaris 1% Tembus 7.348,52",cetak rekor ATH baru ! IHSG melesat nyaris 1% tembus 7.348.52,"['cetak', 'rekor', 'ath', 'baru', '!', 'ihsg', 'melesat', 'nyaris', '1', '%', 'tembus', '7', '.', '34', '##8', '.', '52']",2024/01/04,positif
"Komentarnya Jadi Sorotan, Segini Harta Senator Arya Wedakarna","komentarnya jadi sorotan , segini harta senator arya wedakarna","['komentarnya', 'jadi', 'sorotan', ',', 'segi', '##ni', 'harta', 'senat', '##or', 'arya', 'wed', '##akar', '##na']",2024/01/04,netral
